Restaurante_Name,online_order,book_table,Rating( out of 5),votes,location,Type,Sub-TYpe,dish_liked,cuisines,Cost,listed_in(city)
SantSpa Cuisine,No,Yes,4.9,246,Indiranagar,Dine-out,Casual Dining,"Biryani, Tomato Soup, Farm Pizza, Dumplings, Lemonade, Salad, Smoothie Bowls","Healthy Food, Salad, Mediterranean",1000,Old Airport Road
Sanyogita's,No,No,3.2,4,Sarjapur Road,Delivery,Delivery,"",North Indian,300,Sarjapur Road
Sapfresh,No,No,0,0,Indiranagar,Delivery,Delivery,"",Beverages,150,Old Airport Road
Sapid,No,No,0,0,Bannerghatta Road,Delivery,Delivery,"",North Indian,250,Bannerghatta Road
Sapid.in,No,No,0,0,Bannerghatta Road,Delivery,Delivery,"",North Indian,350,Bannerghatta Road
Sapna bakery,No,No,0,0,Bommanahalli,Dine-out,Quick Bites,"","Bakery, Kerala",250,HSR
Sapna's Kitchen,No,No,0,0,Banaswadi,Delivery,Quick Bites,"","Chinese, North Indian, South Indian",400,Kalyan Nagar
Sapna's Magic Oven,No,No,0,0,Shanti Nagar,Desserts,"Bakery, Beverage Shop","",Bakery,200,Residency Road
Sapthagiri Non Veg,No,No,0,0,Basaveshwara Nagar,Delivery,Quick Bites,"",Fast Food,300,Rajajinagar
Sapthagiri's Naidu Eating Point,No,No,3.4,5,Frazer Town,Dine-out,Quick Bites,"","South Indian, Biryani",300,MG Road
Sarah's,Yes,No,3.8,42,Rammurthy Nagar,Delivery,"Takeaway, Delivery","","Fast Food, Desserts",400,Kalyan Nagar
Saras,No,No,0,0,Marathahalli,Dine-out,Quick Bites,"",South Indian,150,Marathahalli
Sardaar Ka Chulla,Yes,No,0,0,Marathahalli,Dine-out,Quick Bites,"Paratha, Roti, Paneer Tikka Masala, Bhindi Masala, Aloo Gobhi Masala","North Indian, Mughlai",450,Marathahalli
Sardar Ka Chullah,No,No,3.3,7,Marathahalli,Dine-out,Food Court,"",North Indian,400,Marathahalli
Sardar Tikka Singh,Yes,No,0,0,Marathahalli,Delivery,"Takeaway, Delivery","",North Indian,500,Brookefield
Sardarji Ka Dhaba,Yes,No,4.0,750,Hosur Road,Dine-out,Quick Bites,"Lassi, Punjabi Chicken, Paratha, Kadhai Murgh, Butter Naan, Lemon Chicken, Roti",North Indian,250,BTM
Sardarji Ka Kitchen,Yes,No,3.1,44,New BEL Road,Delivery,Quick Bites,"",North Indian,150,New BEL Road
Sardarji Londonwaley,Yes,No,4.1,327,Koramangala 1st Block,Delivery,Delivery,"Dal Makhani, Butter Chicken, Makke Ki Roti, Kulcha, Tandoori Chicken, Garlic Naan, Palak Paneer",North Indian,450,Koramangala 6th Block
Sarjapur Social,Yes,No,4.6,1324,Sarjapur Road,Drinks & nightlife,"Bar, Casual Dining","Cocktails, Mocktails, Momos, Chilli Chicken, Crispy Corn, Nachos, Mojito","American, North Indian, Chinese, Finger Food",1500,Sarjapur Road
Saro Restaurant,No,No,0,0,Marathahalli,Dine-out,Quick Bites,"",South Indian,200,Marathahalli
Sartaj Ambur Dum Biryani,No,No,3.2,4,Frazer Town,Delivery,Quick Bites,"",Biryani,150,Malleshwaram
Sarvam,Yes,No,3.6,122,HSR,Delivery,Casual Dining,"Roti, Paratha, Appam, Chicken Biryani, Kothu Parotta, Elaneer Payasam, Fish Fry","South Indian, Chettinad, Chinese, North Indian, Andhra, Seafood",550,BTM
Sarvam's,No,Yes,3.7,44,Jayanagar,Dine-out,Casual Dining,"Supreme Pizza, Sandwich","North Indian, Chinese, Continental, Pizza",550,Basavanagudi
Sastry And Sastry Pure Veg Food,Yes,No,0,0,Jalahalli,Delivery,Quick Bites,"","South Indian, North Indian, Chinese",300,New BEL Road
Sasu Maa Ki Rasoi,Yes,No,3.6,97,Sarjapur Road,Delivery,Quick Bites,"Dal Fry, Chilli Paneer, Aloo Paratha, Dal Tadka","North Indian, Chinese",300,Sarjapur Road
Satakarni,Yes,No,3.1,217,Marathahalli,Delivery,Casual Dining,Chicken Biryani,"Chinese, South Indian, Andhra, North Indian, Biryani",650,Marathahalli
Sathkar Refershments,No,No,0,0,Old Airport Road,Dine-out,Quick Bites,"","South Indian, Chinese",500,Old Airport Road
Sathya's,No,Yes,4.1,759,Koramangala 3rd Block,Drinks & nightlife,Bar,"Chicken Tikka, Egg Chilli, Masala Peanuts, Beer, Pepper Chicken, Chilli Chicken, Masala Papad","North Indian, Chinese",1200,Koramangala 7th Block
Satkar,No,No,3.6,22,Electronic City,Delivery,Quick Bites,"","Chinese, North Indian",350,Electronic City
Satkar Restaurant,Yes,No,3.6,75,Electronic City,Dine-out,Quick Bites,Dal Fry,"North Indian, Chinese, Biryani, Seafood",350,Electronic City
Satkar Upahar,No,No,0,0,Shanti Nagar,Dine-out,Quick Bites,"","South Indian, Beverages",100,Residency Road
Satrangi,Yes,No,3.7,212,New BEL Road,Delivery,Casual Dining,"Kiwi Juice, Papdi Chaat, Kheer, Veg Buffet, Roti, Pasta, Gulab Jamun","North Indian, South Indian",900,New BEL Road
Sattuani,No,No,3.5,10,St. Marks Road,Dine-out,Quick Bites,"","Bihari, North Indian, Fast Food",250,Church Street
Sattvam,No,No,4.4,2127,Sadashiv Nagar,Buffet,Casual Dining,"Gajar Ka Halwa, Jalebi Rabri, Aamras, Pongal, Salads, Lauki Ka Halwa, Pasta","North Indian, South Indian",1200,Malleshwaram
Sattvam Bakes,No,No,3.6,25,Sadashiv Nagar,Desserts,Dessert Parlor,"",Desserts,300,Malleshwaram
Sattvic,No,No,3.5,11,Electronic City,Delivery,Casual Dining,"","South Indian, North Indian",450,Electronic City
Satyam Sweets,No,No,0,0,Rajajinagar,Desserts,Sweet Shop,"","Mithai, Street Food",450,Rajajinagar
Savandh's Kitchen - Donne Biryani,No,No,0,0,BTM,Delivery,Quick Bites,"","Biryani, South Indian",350,Koramangala 7th Block
Savera Cafe,No,No,3.7,11,Shivajinagar,Cafes,Cafe,"",Cafe,50,Brigade Road
Savera Lassi Shop,No,No,0,0,Shivajinagar,Delivery,Beverage Shop,"","Beverages, Juices",100,Residency Road
Savi Sagar,Yes,No,4.2,343,Rajajinagar,Delivery,Quick Bites,"","North Indian, South Indian, Chinese",350,Malleshwaram
Savipriya Military Hotel,No,No,0,0,Rajajinagar,Dine-out,Quick Bites,"",South Indian,350,Rajajinagar
Savitha Family Restaurant,Yes,No,4.0,198,Koramangala 4th Block,Delivery,Quick Bites,"Butter Naan, Tandoori Chicken, Chicken Tikka Masala, Malai Kofta, Biryani, Wheat Paratha, Noodles",North Indian,500,Koramangala 6th Block
Savji's Roll 'N' Biryani,Yes,No,3.9,441,Vijay Nagar,Dine-out,Quick Bites,"Rolls, Chicken Roll, Chicken Biryani, Chicken Lollipop","North Indian, Chinese, Biryani, Rolls",250,Rajajinagar
Savours,Yes,No,3.3,10,Sarjapur Road,Delivery,Quick Bites,"","North Indian, South Indian, Chinese",350,Sarjapur Road
Savoury - Sea Shell Restaurant,Yes,Yes,3.9,1230,Bannerghatta Road,Delivery,Casual Dining,"Shawarma, Biryani, Chicken Grill, Rolls, Tomato Soup, Chicken Shawarama, Haleem","Arabian, North Indian, Chinese, Seafood, Biryani, Beverages",900,JP Nagar
Savoury Express,Yes,No,3.6,31,Jeevan Bhima Nagar,Delivery,Casual Dining,"",Arabian,800,Indiranagar
Savoury Restaurant,Yes,No,4.1,1445,Frazer Town,Delivery,Casual Dining,"Biryani, Haleem, Jumbo Shawarma, Kerala Parotta, Barbeque Chicken, Mutton Raan Biriyani, Dum Aloo","Arabian, North Indian, Chinese, Beverages",800,Church Street
SB FOODS,No,No,3.3,4,JP Nagar,Dine-out,Quick Bites,"",South Indian,250,Jayanagar
Sbarro,No,No,3.4,16,Domlur,Delivery,Quick Bites,"",Pizza,500,Old Airport Road
S-Cafe,No,No,0,0,New BEL Road,Dine-out,Quick Bites,"",South Indian,150,New BEL Road
sCoolMeal,No,No,0,0,BTM,Delivery,"Takeaway, Delivery","","North Indian, South Indian, Chinese, Pizza",300,Koramangala 7th Block
Scoops N Smiles,Yes,No,3.3,7,Rajajinagar,Desserts,"Dessert Parlor, Quick Bites","","Desserts, Sandwich, Pizza, Burger",200,Malleshwaram
Scottish Pub,No,No,3.9,190,St. Marks Road,Pubs and bars,Bar,"Wine, Beer, Chicken Pakora, Masala Corn, Pakoda, Garlic Chicken, French Fries",Finger Food,600,MG Road
Sea Green Cafe,No,No,3.3,4,Banashankari,Cafes,Cafe,"","Cafe, Fast Food, Beverages",500,Basavanagudi
Sea Horse,No,No,3.4,9,JP Nagar,Dine-out,Casual Dining,"","South Indian, Chinese",400,Bannerghatta Road
Sea Lions BBQ & Grills,No,Yes,4.6,545,Jayanagar,Dine-out,Casual Dining,"Neer Dosa, Mutton Biryani, Brownie, Paan Ice Cream, Cocktails, Mocktails, Vegetable Biryani","North Indian, Chinese, Mughlai, Mexican, BBQ",1100,Jayanagar
Sea Pot,Yes,No,3.5,11,Marathahalli,Delivery,Casual Dining,"","Seafood, North Indian",800,Marathahalli
Sea Rock,Yes,Yes,4.6,514,Seshadripuram,Dine-out,Casual Dining,"Sea Food, Neer Dosa, Fish, Squid Masala, Palak Rice, Masala Papad, Chicken Gassi","Mangalorean, Seafood, South Indian, North Indian, Chinese, Mughlai",1000,Malleshwaram
Sea Route,Yes,Yes,4.1,428,Rajajinagar,Delivery,Casual Dining,"Sea Food, Fish, Roti, Prawn Ghee Roast, Neer Dosa, Murgh Ghee Roast, Paneer Tikka","Seafood, North Indian, Chinese",1100,Rajajinagar
Sea Salt,No,No,3.7,18,Sahakara Nagar,Dine-out,Quick Bites,"","South Indian, Seafood",600,New BEL Road
Sea Spice by 7 Star,Yes,Yes,4.0,350,Banashankari,Delivery,Casual Dining,"Sea Food, Neer Dosa, Anjal Masala Fry, Coconut Pudding, Chicken Biryani, Roti, Fish Curry","Seafood, Biryani, Beverages, South Indian, North Indian, Kebab",1200,JP Nagar
Seafood Dot Grill,Yes,No,3.9,36,Yeshwantpur,Delivery,"Casual Dining, Bar","","Seafood, North Indian, Mangalorean",1200,Rajajinagar
Seafood Place,Yes,No,4.1,293,Indiranagar,Dine-out,Casual Dining,"Sea Food, Masala Prawn, Crabmeat Soup, Crab Ghee Roast, Anjal Masala Fry, Prawn Curry, Tandoori Pomfret","Chinese, North Indian, Kerala, Mangalorean, Seafood",800,Indiranagar
SEAPOT,No,No,3.5,8,Marathahalli,Buffet,Casual Dining,"","North Indian, South Indian",600,Marathahalli
Season - Adarsh Hamilton,No,Yes,4.3,330,Richmond Road,Dine-out,Casual Dining,"Fish, Pepper Corn, Salads, Mutton Biryani, Lunch Buffet, Apple Pie, Dahi Vada","North Indian, Chinese, South Indian, Continental",1200,Lavelle Road
Seasons,No,No,3.8,500,Bannerghatta Road,Delivery,Casual Dining,"Biryani, Sea Food, Egg Masala, Barbeque Chicken, Fish Grill, Appam, Raita","North Indian, South Indian, Chinese, Seafood, Kerala, Arabian, Juices",0,Jayanagar
Second Wife Cafe,Yes,No,3.8,60,HSR,Delivery,Quick Bites,"Paneer Tikka, Tandoori Momos, Soya Chaap, Afghani Chaap","Arabian, North Indian",400,Bellandur
Sector 7 CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Yes,No,4.3,1108,HSR,Delivery,Cafe,"Pizza, Pancakes, Pasta, Burgers, Buffalo Wings, Peri Peri Chicken Steak, Latte","Cafe, Continental, Pizza, Salad",700,Koramangala 7th Block
Sector 7 Cafe,Yes,No,4.3,1101,HSR,Delivery,Cafe,"Pizza, Pancakes, Pasta, Burgers, Buffalo Wings, Peri Peri Chicken Steak, Latte","Cafe, Continental, Pizza, Salad",700,Koramangala 4th Block
Seekers Cafe,No,No,3.6,25,BTM,Dine-out,Casual Dining,"","Italian, Continental",500,Koramangala 6th Block
SeeYa Restaurant,No,No,3.3,4,KR Puram,Dine-out,Quick Bites,"","North Indian, Kerala, Chinese",350,Whitefield
Selfie Cafe,No,No,3.7,19,Koramangala 7th Block,Dine-out,"Beverage Shop, Quick Bites","","Beverages, Fast Food, Desserts",300,Koramangala 6th Block
Sendhoor Coffee,No,No,3.9,49,Indiranagar,Dine-out,Quick Bites,"Tea, Tomato Rice, Filter Coffee, Idli, Biryani","Coffee, Street Food",150,Indiranagar
Senthur Cafe,No,No,3.4,5,Koramangala 7th Block,Dine-out,Quick Bites,"","South Indian, Beverages",100,Koramangala 7th Block
Serene Restaurant,No,No,0,0,HSR,Dine-out,Quick Bites,"",North Indian,300,HSR
Serenitea4u,No,No,3.4,9,Jeevan Bhima Nagar,Dine-out,"Beverage Shop, Quick Bites","","Beverages, Fast Food",100,Old Airport Road
Serranos Mexican Grill,Yes,No,3.7,86,Nagawara,Delivery,Quick Bites,"Burrito Bowl, Tacos, Salad, Salads, Steak, Lemonade, Fish",Mexican,400,Kammanahalli
Sethi's,Yes,No,0,0,Kumaraswamy Layout,Delivery,Delivery,"","North Indian, Chinese, BBQ",600,JP Nagar
Sethji Home Made Food,Yes,No,3.6,228,Indiranagar,Delivery,Quick Bites,"Paratha, Gulab Jamun, Sweet Lassi, Paneer Bhurji, Chaach, Paneer Parantha, Raita",North Indian,350,Indiranagar
Seven Ate Nine,Yes,Yes,0,0,HSR,Delivery,Casual Dining,"","North Indian, Steak, South Indian",700,HSR
Seven Spices - Manipal County,No,No,2.8,38,Electronic City,Buffet,Casual Dining,"","North Indian, Chinese, Continental",900,Electronic City
Seven Star,Yes,No,3.4,7,Banashankari,Delivery,Quick Bites,"","North Indian, Chinese",250,Banashankari
SFC Kabab Corner,No,No,3.6,14,Electronic City,Delivery,Quick Bites,"","Chinese, Andhra",350,Electronic City
SGS Non Veg - Gundu Pulav,Yes,No,3.9,56,St. Marks Road,Delivery,Quick Bites,Chilli Chicken,"Biryani, Fast Food",400,MG Road
SGS Nonveg- Gundu Palav,No,No,3.6,25,Kalyan Nagar,Dine-out,Quick Bites,"","Biryani, Fast Food",400,Kammanahalli
Shaadab,Yes,No,0,0,Whitefield,Delivery,"Takeaway, Delivery","","North Indian, Chinese, Biryani, Fast Food",700,Whitefield
Shaadi Ki Biryani,Yes,No,3.1,31,BTM,Delivery,"Takeaway, Delivery","","Biryani, North Indian, Mughlai",400,JP Nagar
Shaahi Mezbaan Restaurant,No,No,3.1,9,BTM,Dine-out,Quick Bites,"",North Indian,350,Jayanagar
Shaan-E-Punjab,Yes,No,2.9,84,"ITPL Main Road, Whitefield",Dine-out,Casual Dining,"Butter Chicken, Chicken Tikka Masala, Paneer Tikka Masala, Sweet Lassi",North Indian,500,Whitefield
Shaap,Yes,No,4.0,237,Indiranagar,Dine-out,Casual Dining,"Buttermilk, Fish Curry, Biryani, Beef Fry, Pazham Pori, Chicken Malabari, Tea","Kerala, Seafood",500,Indiranagar
Shabari Kitchen,Yes,No,3.5,16,Koramangala 1st Block,Delivery,Quick Bites,"","South Indian, Chinese",150,Koramangala 6th Block
Shades Of Coffee,No,No,0,0,HSR,Dine-out,Quick Bites,"","Desserts, Sandwich, Fast Food, Beverages",300,HSR
Shadow Kolkata Katti Rolls & Momos,Yes,No,0,0,Brigade Road,Dine-out,Quick Bites,"","Rolls, Chinese",250,Residency Road
Sha-e-Darbar,Yes,No,3.7,61,Yeshwantpur,Delivery,Quick Bites,"","North Indian, Chinese",400,New BEL Road
Shagun Sweets & Foods,Yes,No,3.6,221,BTM,Dine-out,"Sweet Shop, Quick Bites","Chaat, Chole Bhature, Raj Kachori, Thali, Rasmalai, Paratha, Pav Bhaji","Mithai, North Indian, Street Food, Chinese",400,Jayanagar
Shahee,No,No,0,0,RT Nagar,Dine-out,Quick Bites,"",Mughlai,200,Frazer Town
Shahi Biryani,No,No,0,0,Indiranagar,Dine-out,Quick Bites,"","Biryani, Kebab",200,Indiranagar
Shahi Darbar,Yes,No,3.3,5,Ejipura,Delivery,Quick Bites,"","Chinese, North Indian",300,BTM
Shahi Darbar Roll Centre,No,No,3.9,50,New BEL Road,Dine-out,Quick Bites,"","Street Food, Rolls",400,New BEL Road
Shahi Dasterkhwan,No,No,2.9,11,Koramangala 6th Block,Dine-out,Quick Bites,"","North Indian, Kebab, Mughlai",400,Koramangala 5th Block
Shahi Family Restaurant,Yes,No,3.6,66,Ulsoor,Delivery,Quick Bites,"","North Indian, Chinese, South Indian",350,Indiranagar
Shahi Grill,No,No,3.4,4,Marathahalli,Dine-out,Quick Bites,"","North Indian, Chinese",400,Marathahalli
Shahi Hyderabadi Dum Biryani,Yes,No,3.1,151,Kalyan Nagar,Dine-out,Casual Dining,"Chicken Biryani, Mutton Biryani, Chicken Manchurian, Shahi Biryani","North Indian, Biryani",500,Kammanahalli
Shahi Kabab,No,No,3.9,40,Frazer Town,Dine-out,Quick Bites,"",Rolls,200,Frazer Town
Shahi Rasoi,Yes,No,3.1,27,HSR,Delivery,Delivery,"","North Indian, Mughlai",600,HSR
Shahi Zaikha,Yes,No,3.4,9,Sarjapur Road,Dine-out,Quick Bites,"","Chinese, North Indian, Mughlai",300,Sarjapur Road
SHAIK's DYNASTY,No,No,3.2,6,Kammanahalli,Dine-out,Casual Dining,"","North Indian, Chinese",450,Kammanahalli
Shakar Maanes Kitchen,No,No,0,0,HSR,Dine-out,Quick Bites,"","South Indian, North Indian, Chinese",300,HSR
Shake It,No,No,0,0,Banaswadi,Dine-out,Beverage Shop,"",Beverages,100,Kalyan Nagar
Shake It Off,Yes,No,3.6,15,CV Raman Nagar,Dine-out,Beverage Shop,"","Beverages, Fast Food",600,Marathahalli
Shake It Off,Yes,No,4.4,659,Jayanagar,Delivery,"Beverage Shop, Quick Bites","Paneer Sandwich, Sandwiches, Burgers, Momos, Maggi, Ferrero Rocher Shake, Thick Shakes","Beverages, Fast Food",600,Basavanagudi
Shake N Snack,No,No,3.6,18,Shanti Nagar,Delivery,Beverage Shop,"","Beverages, Fast Food",200,Residency Road
Shake Tat Bottle,No,No,3.6,9,Sadashiv Nagar,Desserts,"Beverage Shop, Dessert Parlor","",Beverages,200,Malleshwaram
Shake The Shake,Yes,No,0,0,BTM,Delivery,Beverage Shop,"",Juices,200,JP Nagar
Shaken & Stirred,Yes,No,3.9,86,Race Course Road,Delivery,"Bar, Casual Dining","Seekh Kebab, Paneer Tikka, Beer, Fish Tikka, Kala Jamun, Biryani, Long Island Iced Tea","Continental, North Indian, Chinese",1500,Rajajinagar
Shakes Theory,Yes,No,4.5,155,Jayanagar,Delivery,Beverage Shop,"Sandwiches, Thick Shakes, Paan Shake, Brownie Bomb, Spinach Corn Sandwich, Peri Peri Fries, Paneer Peri Peri","Beverages, Sandwich",300,JP Nagar
Shakes365,Yes,No,0,0,Whitefield,Delivery,Beverage Shop,"",Beverages,300,Whitefield
ShakesBierre,No,Yes,4.5,403,Brigade Road,Dine-out,"Microbrewery, Casual Dining","Cocktails, Mocktails, Pizza, Sweet Yogurt, Jujeh Kabab, Burgers, Karela Chaat","Asian, Continental, European, North Indian",1500,Residency Road
Shakthi Bar and Restaurant,No,No,3.1,12,RT Nagar,Delivery,"Bar, Casual Dining","","North Indian, South Indian, Chinese",900,Malleshwaram
Shalimar,Yes,No,4.0,153,Indiranagar,Dine-out,Casual Dining,"Sea Food, Murgh Ghee Roast, Masala Peanuts, Beer, Roti","North Indian, Chinese, Seafood",700,Indiranagar
Shalimar Chaska,No,No,0,0,Richmond Road,Dine-out,Quick Bites,"","Fast Food, Chinese",200,Residency Road
Shammah's,No,No,3.3,21,Hennur,Dine-out,Quick Bites,"","Chinese, North Indian",300,Kalyan Nagar
Shan Restaurant,Yes,No,3.0,20,Brigade Road,Delivery,Quick Bites,"","Kerala, Chinese, South Indian, North Indian",400,Residency Road
Shandong,Yes,No,4.0,220,Hennur,Delivery,Casual Dining,"Noodles, Dragon Rolls, Momos, Garlic Chicken, Pork Ribs","Chinese, Momos",500,Kalyan Nagar
Shandong Express,No,No,0,0,Kammanahalli,Delivery,Quick Bites,"",North Indian,300,Kalyan Nagar
Shandys-The Beer Cocktail Hub,No,No,0,0,Electronic City,Dine-out,"Bar, Casual Dining","Pizza, Beer Cocktail, Cocktails","North Indian, South Indian, Chinese, Italian",1400,Electronic City
Shan-e-Punjabi Express,Yes,No,3.1,71,Whitefield,Delivery,Quick Bites,Chicken Biryani,North Indian,400,Brookefield
Shang Palace - Shangri-La Hotel,No,Yes,4.2,344,Vasanth Nagar,Dine-out,"Fine Dining, Bar","Salads, Noodles, Prawn Dim Sums, Brownie, Dumplings, Wine, Chicken Wonton Soup","Chinese, Asian",2000,Lavelle Road
Shangai Sun,No,No,3.4,12,BTM,Delivery,"Takeaway, Delivery","","Asian, Chinese",500,Koramangala 7th Block
Shanghai Bistro,Yes,No,4.1,251,Sarjapur Road,Delivery,Casual Dining,"Noodles, Chicken Momo, Chicken Manchurian, Crabmeat Soup, Momos, Chop Suey, Chicken Manchow Soup","Chinese, Thai, Vietnamese",800,Sarjapur Road
Shanghai Court,Yes,No,4.2,421,Bannerghatta Road,Delivery,Casual Dining,"Chicken Manchow Soup, Hunan Chicken, Pad Thai, Singapore Noodles, Dragon Rolls, Momos, Thai Red Curry","Chinese, Thai",700,BTM
Shanghai Times,Yes,No,3.5,9,HBR Layout,Dine-out,Quick Bites,"",Chinese,500,Kalyan Nagar
Shanghai Xpress,No,No,3.1,11,Kammanahalli,Delivery,Quick Bites,"",Chinese,300,Kalyan Nagar
Shankar Maanes Kitchen,Yes,No,3.8,33,HSR,Delivery,Quick Bites,"","South Indian, Biryani, North Indian",500,HSR
Shankar's Kitchen,No,No,0,0,Old Airport Road,Dine-out,Quick Bites,"",Sandwich,120,Indiranagar
Shanmukha,Yes,No,4.4,1944,Jayanagar,Dine-out,Casual Dining,"Egg Biryani, Egg Chilli, Mutton Biryani, Hyderabadi Biryani, Naan, Raita, Butter Chicken","Biryani, Andhra, North Indian, Chinese",800,BTM
Shanthala Icecreams,No,No,3.4,7,Rajajinagar,Desserts,Dessert Parlor,"","Ice Cream, Desserts",150,Rajajinagar
Shanthi Sagar,Yes,No,4.1,205,Ulsoor,Delivery,Quick Bites,"Coffee, Roti, Vada Pav","South Indian, North Indian, Chinese, Juices",250,Church Street
Shanthi Sagar Deluxe,No,No,2.7,52,Frazer Town,Delivery,Casual Dining,"Masala Dosa, Coffee","South Indian, North Indian, Fast Food",500,Frazer Town
Shanthi Sweets & Bakery,No,No,3.4,9,Thippasandra,Desserts,"Sweet Shop, Quick Bites","","Mithai, Street Food",200,Old Airport Road
Shanti Sweets,Yes,No,3.8,23,Rammurthy Nagar,Delivery,"Sweet Shop, Quick Bites","","Mithai, Street Food",300,Kammanahalli
Sharaab Factory,Yes,Yes,3.9,406,Bellandur,Dine-out,Bar,"Chicken Curry, Chicken Tikka, Mocktails, Cocktails, Long Island Iced Tea, Draught Beer","Biryani, North Indian",1500,Sarjapur Road
Sharief Bhai,No,Yes,4.4,1574,Koramangala 5th Block,Dine-out,Casual Dining,"Mutton Biryani, Nalli Nihari, Patthar Ka Gosht, Phirni, Paya Soup, Hyderabadi Biryani, Chicken Nihari","Mughlai, Biryani",700,Koramangala 6th Block
Sharma Ji Chaats And Desi khana,No,No,0,0,Jayanagar,Delivery,Quick Bites,"","North Indian, Street Food",200,Basavanagudi
Sharma's Malai & Masala,Yes,No,4.0,457,Koramangala 1st Block,Delivery,Casual Dining,"Chicken Biryani, Kulcha, Chicken Chatpata, Panneer Butter Masala, Paneer Lababdar, Tandoori Chicken, Shahi Paneer",North Indian,550,HSR
Sharon Hotel,No,No,0,0,Electronic City,Dine-out,Quick Bites,"","Kerala, South Indian",300,Electronic City
Shater Grill House,No,No,3.5,8,BTM,Dine-out,Casual Dining,"","North Indian, Arabian, Chinese",700,Koramangala 6th Block
Shavaji Hotel,No,No,0,0,JP Nagar,Delivery,Quick Bites,"",South Indian,200,JP Nagar
Shawarma & Kolkata Rolls,No,No,3.3,4,New BEL Road,Dine-out,Quick Bites,"","Rolls, Fast Food",100,New BEL Road
Shawarma Bae,No,No,3.3,8,BTM,Delivery,Quick Bites,"","Beverages, Fast Food",200,BTM
Shawarma Bite,No,No,0,0,BTM,Dine-out,Quick Bites,"",Arabian,200,Jayanagar
Shawarma Corner,No,No,0,0,BTM,Delivery,Quick Bites,"",Arabian,100,BTM
Shawarma Hunt,No,No,3.4,9,HSR,Delivery,Quick Bites,"",Arabian,300,HSR
Shawarma Inc,Yes,No,3.3,6,Bannerghatta Road,Delivery,Food Court,"","Rolls, Lebanese",250,JP Nagar
Shawarma King Restaurant,Yes,No,3.5,39,Kammanahalli,Delivery,Quick Bites,"","Arabian, Chinese, North Indian",500,Frazer Town
Shawarma Time,Yes,No,3.7,82,Ulsoor,Dine-out,Quick Bites,"",Arabian,300,MG Road
Shawn's Bakehouse,No,No,0,0,Old Airport Road,Desserts,Bakery,"",Bakery,100,Old Airport Road
Shayancafecito,No,No,0,0,Koramangala 5th Block,Delivery,Delivery,"","North Indian, Mughlai",250,Koramangala 7th Block
She Brews,Yes,No,3.8,159,Electronic City,Delivery,Cafe,"Coffee, Sandwich, Peri Peri Fries, Peri Peri Sizzler, White Sauce Pasta","Cafe, Continental, Thai, Chinese",400,Electronic City
Shebestan - Sterlings MAC Hotel,No,Yes,4.2,405,Old Airport Road,Buffet,Casual Dining,"Salads, Tabbouleh, Mutton Curry, Falafel, Pasta, Kheer, Lunch Buffet",Arabian,1500,Indiranagar
Sheer Kurma,No,No,0,0,Bannerghatta Road,Delivery,Quick Bites,"",Desserts,300,Bannerghatta Road
Sheesh Kebab,Yes,No,4.1,68,Frazer Town,Delivery,Casual Dining,"Naan, Mutton Kebab, Memon Mutton Biryani, Mutton Keema",North Indian,700,Church Street
Shee-Sha Cafe,No,Yes,3.6,39,Bannerghatta Road,Delivery,"Cafe, Casual Dining","","Cafe, North Indian, Chinese, Continental",800,Bannerghatta Road
Sheetal Restaurant,No,No,0,0,Majestic,Dine-out,Quick Bites,"",South Indian,150,Lavelle Road
Sheetals Home Food,No,No,0,0,Whitefield,Delivery,"Takeaway, Delivery","","South Indian, North Indian",250,Whitefield
Shekhawati Restaurant,Yes,No,3.7,62,Sarjapur Road,Delivery,Quick Bites,"",North Indian,300,Bellandur
Sher-E-Punjab,Yes,No,3.4,414,Marathahalli,Delivery,Quick Bites,"Jeera Rice, Thali, Roti","North Indian, Chinese",400,Bellandur
Sherin Ice Palace,No,No,0,0,Sanjay Nagar,Delivery,Dessert Parlor,"","Ice Cream, Desserts",250,New BEL Road
Sherlock's Cafe,Yes,No,3.7,40,Frazer Town,Delivery,Cafe,"","Cafe, Fast Food",350,Brigade Road
Sherlock's Pub,No,No,4.0,580,Frazer Town,Pubs and bars,"Pub, Casual Dining","Cocktails, Nachos, Jalapeno Cheeseballs, Draught Beer, Chicken Tikka, Masala Peanuts, Mai Thai","Continental, North Indian, Chinese",1500,Frazer Town
Shetty's Kitchen,Yes,No,3.7,109,Bannerghatta Road,Delivery,Quick Bites,"Sea Food, Neer Dosa",Mangalorean,600,BTM
Shezan,Yes,No,4.2,402,Cunningham Road,Dine-out,Casual Dining,"Butter Naan, Mudpie, Mutton Biryani, Chicken Tikka, Kulfi, Steak, Sweet Corn Soup","Chinese, Continental, North Indian, Mughlai, Steak",600,Residency Road
Shift,Yes,Yes,4.2,1923,HSR,Delivery,"Lounge, Casual Dining","Paneer Steak, Peri Peri Pizza, Lamb Chops, Chicken Biryani, Cocktails, Mocktails, Beer","Finger Food, Continental, North Indian",1500,Koramangala 6th Block
Shilpa Gulati's Desserts,No,No,3.6,17,Cunningham Road,Desserts,Bakery,"",Bakery,600,Church Street
Shilpa Veg,No,No,3.6,37,Shivajinagar,Desserts,Quick Bites,"","South Indian, Street Food, Beverages, Desserts",250,Brigade Road
